MUNICIPIO,AIS
Maranguape,AIS 12
Caucaia,AIS 11
Mauriti,AIS 19
Santa Quitéria,AIS 16
Forquilha,AIS 14
Aracoiaba,AIS 15
Jaguaribara,AIS 18
Banabuiú,AIS 20
Pacajus,AIS 13
Milhã,AIS 20
Sobral,AIS 14
Aquiraz,AIS 13
Crato,AIS 19
Acaraú,AIS 17
Baturité,AIS 15
Quixadá,AIS 20
Apuiarés,AIS 17
Quiterianópolis,AIS 22
Pacatuba,AIS 12
Umirim,AIS 17
Solonópole,AIS 20
Juazeiro do Norte,AIS 19
Maracanaú,AIS 12
Missão Velha,AIS 19
Iracema,AIS 18
Cascavel,AIS 13
Horizonte,AIS 13
Cedro,AIS 21
Várzea Alegre,AIS 21
Caririaçu,AIS 19
Redenção,AIS 15
Aratuba,AIS 15
Senador Pompeu,AIS 20
Eusébio,AIS 13
Santana do Acaraú,AIS 14
São Gonçalo do Amarante,AIS 11
Chorozinho,AIS 13
Itaitinga,AIS 12
Lavras da Mangabeira,AIS 21
Capistrano,AIS 15
Caridade,AIS 15
Pereiro,AIS 18
Ipueiras,AIS 16
Trairi,AIS 11
Tauá,AIS 22
Russas,AIS 18
Fortim,AIS 18
Deputado Irapuan Pinheiro,AIS 20
São João do Jaguaribe,AIS 18
Paraipaba,AIS 11
Pires Ferreira,AIS 16
Quixeré,AIS 18
Choró,AIS 20
Icapuí,AIS 18
Itapiúna,AIS 15
Cruz,AIS 17
Canindé,AIS 15
Palmácia,AIS 15
Campos Sales,AIS 19
São Luís do Curu,AIS 11
Independência,AIS 16
Uruburetama,AIS 17
Limoeiro do Norte,AIS 18
Martinópole,AIS 14
Itapipoca,AIS 17
Aracati,AIS 18
Pedra Branca,AIS 20
Massapê,AIS 14
Guaiúba,AIS 12
Araripe,AIS 19
Meruoca,AIS 14
Tururu,AIS 17
Saboeiro,AIS 21
Morada Nova,AIS 20
Mombaça,AIS 22
Ipu,AIS 16
Beberibe,AIS 18
Ibicuitinga,AIS 20
Reriutaba,AIS 16
Itarema,AIS 17
Antonina do Norte,AIS 19
Pentecoste,AIS 17
Jaguaruana,AIS 18
Miraíma,AIS 17
Ocara,AIS 15
Tianguá,AIS 14
Crateús,AIS 16
Acopiara,AIS 21
Monsenhor Tabosa,AIS 16
Barbalha,AIS 19
Assaré,AIS 19
Paracuru,AIS 11
Barroquinha,AIS 14
Jardim,AIS 19
Madalena,AIS 15
Amontada,AIS 17
Iguatu,AIS 21
São Benedito,AIS 14
Paramoti,AIS 15
Jucás,AIS 21
Moraújo,AIS 14
Itapajé,AIS 17
Quixeramobim,AIS 20
Jaguaribe,AIS 18
Porteiras,AIS 19
Palhano,AIS 18
Marco,AIS 17
Jijoca de Jericoacoara,AIS 17
Granja,AIS 14
Farias Brito,AIS 19
Itatira,AIS 15
Tabuleiro do Norte,AIS 18
Chaval,AIS 14
Guaramiranga,AIS 15
Aiuaba,AIS 22
Pacoti,AIS 15
Potiretama,AIS 18
Tamboril,AIS 16
Pindoretama,AIS 13
Frecheirinha,AIS 14
Alto Santo,AIS 18
Uruoca,AIS 14
Mucambo,AIS 14
Guaraciaba do Norte,AIS 14
Boa Viagem,AIS 15
Orós,AIS 21
Catunda,AIS 16
Brejo Santo,AIS 19
Barreira,AIS 15
Hidrolândia,AIS 16
Granjeiro,AIS 21
Icó,AIS 21
Aurora,AIS 19
Barro,AIS 19
Acarape,AIS 15
Ererê,AIS 18
Morrinhos,AIS 17
Nova Olinda,AIS 19
Cariús,AIS 21
Varjota,AIS 16
Coreaú,AIS 14
Novo Oriente,AIS 16
Ubajara,AIS 14
Viçosa do Ceará,AIS 14
Jaguaretama,AIS 20
General Sampaio,AIS 17
Ibaretama,AIS 20
Camocim,AIS 14
Penaforte,AIS 19
Catarina,AIS 22
Alcântaras,AIS 14
Ibiapina,AIS 14
Ipaumirim,AIS 21
Irauçuba,AIS 17
Groaíras,AIS 14
Tejuçuoca,AIS 17
Mulungu,AIS 15
Graça,AIS 14
Piquet Carneiro,AIS 22
Cariré,AIS 14
Bela Cruz,AIS 17
Senador Sá,AIS 14
Nova Russas,AIS 16
Parambu,AIS 22
Itaiçaba,AIS 18
Arneiróz,AIS 22
Salitre,AIS 19
Jati,AIS 19
Ararendá,AIS 16
Milagres,AIS 19
Abaiara,AIS 19
Croatá,AIS 14
Santana do Cariri,AIS 19
Carnaubal,AIS 14
