location,homicidesRatio
Brasil,"23,6"
Alagoas,"37,3"
Ceará,"45,2"
Distrito Federal,"14,2"
Espírito Santo,"29,7"
Goiás,"30,5"
Maranhão,"28,7"
Mato Grosso,"28,1"
Pará,"32,5"
Paraíba,"28,9"
Paraná,"21,6"
Pernambuco,"38,3"
Piauí,"21,5"
Santa Catarina,"11,2"
Sergipe,"42,6"
Bahia,"44,9"
Mato Grosso do Sul,"17,5"
Minas Gerais,"12,6"
Rio de Janeiro,"28,3"
Rio Grande do Norte,"38,0"
Rio Grande do Sul,"17,6"
São Paulo,"9,0"
Tocantins,"28,5"
Acre,"32,9"
Amapá,"41,7"
Amazonas,"26,5"
Rondônia,"23,0"
Roraima,"29,2"
